AdTypeID;AdvertisedAppIsAutoPromoAllowed;AdvertisedAppOrientation;AdvertisedAppTotalRevenue;AdvertisedAppType;AllowCPABid;AllowCPCBid;AllowCPIBid;AllowCPMBid;AmountEuros;AppAdvertisedID;AppOriginCategoryID;AppOriginID;CampTypeDescription;CompletionRate;ConnTypeName;CostPerClickBid;CostPerDownloadBid;CostPerViewBid;CountryDescription;CountryName;CPMBid;DailyFrequencyCap;DisplayRank;earnings;EndDate;ID;IsPublisherCompany;IsS2SIntegration;IsWebFilterAvailable;nbClicks;NbCrossPromoDisplaysEarned;NbCrossPromoDisplaysLeft;nbCVVs;nbDisplays;nbInstalls;nbLeads;nbNewUsers;nbRequests;nbSessions;Priority;PublisherID;spendings;StartDate;StatTime;OriginalAppType;OriginalAppOrientation;OriginalAppTotalRevenue;FillRate;CPI;CPM
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;WIFI;0;0;0;;JAPAN;0;2;1;0;11/01/2017 00:00;2436;1;0;1;1;0;0;0;0;0;0;0;0;0;0;906;0;11/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;JAPAN;0;2;1;0;11/01/2017 00:00;2436;1;0;1;0;0;0;0;11;0;0;0;11;0;0;906;0;11/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;WIFI;0;0;0;;UNITED KINGDOM;0;2;1;0;12/01/2017 00:00;2437;1;0;1;1;0;0;0;0;0;0;0;0;0;0;906;0;12/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;UNITED KINGDOM;0;2;1;0;12/01/2017 00:00;2437;1;0;1;0;0;0;0;15;0;0;0;15;0;0;906;0;12/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;CANADA;0;2;1;0;12/01/2017 00:00;2438;1;0;1;0;0;0;0;14;0;0;0;14;0;0;906;0;12/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;WIFI;0;0;0;;CANADA;0;2;1;0;12/01/2017 00:00;2438;1;0;1;2;0;0;0;0;0;0;0;0;0;0;906;0;12/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;Edge (2.5G);0;0;0;;CANADA;0;2;1;0;12/01/2017 00:00;2438;1;0;1;1;0;0;0;0;0;0;0;0;0;0;906;0;12/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;4;1;0;2;1;1;1;1;0;2324;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0;0;0;;ITALY;0;2;1;0;12/01/2017 00:00;2439;1;0;1;0;0;0;0;6;0;0;0;6;0;0;906;0;12/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;WIFI;0,1;0;0;;AUSTRALIA;0;2;1;0;01/01/2100 00:00;2440;1;0;1;2;0;0;0;0;0;0;0;0;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;0;0;0
3;2;2;9222,97;1;1;1;1;1;0;2272;11;2241;Full screen interstitial (in-app);0;Hspa (3G+);0,1;0;0;;FRANCE;0;2;1;0;01/01/2100 00:00;2440;1;0;1;0;0;0;0;37;0;0;0;37;0;0;906;0;18/01/2016 00:00;25/01/2016 00:00;1;3;7751,88;100;0;0
